[[-1.0, 0.0, array([1.34708188e-16])], [-0.33333333333333337, 0.0, array([0.86583601])], [0.33333333333333326, 0.0, array([-3.09533892])], [1.0, 0.0, array([6.9196615e-05])]]
[[-1.0, 0.1, array([1.13413021e-17])], [-0.33333333333333337, 0.1, array([0.94789587])], [0.33333333333333326, 0.1, array([-0.64843602])], [1.0, 0.1, array([4.8382485e-05])]]
[[-1.0, 0.2, array([2.86598334e-18])], [-0.33333333333333337, 0.2, array([0.9339578])], [0.33333333333333326, 0.2, array([-0.38196694])], [1.0, 0.2, array([1.00202705e-05])]]
[[-1.0, 0.30000000000000004, array([8.62154174e-19])], [-0.33333333333333337, 0.30000000000000004, array([0.83180808])], [0.33333333333333326, 0.30000000000000004, array([-0.09512688])], [1.0, 0.30000000000000004, array([1.94142315e-06])]]
[[-1.0, 0.4, array([2.85146079e-19])], [-0.33333333333333337, 0.4, array([0.66388107])], [0.33333333333333326, 0.4, array([0.18335969])], [1.0, 0.4, array([3.66867275e-07])]]
[[-1.0, 0.5, array([1.00344177e-19])], [-0.33333333333333337, 0.5, array([0.4739997])], [0.33333333333333326, 0.5, array([0.42731813])], [1.0, 0.5, array([6.80313523e-08])]]
[[-1.0, 0.6000000000000001, array([3.6854648e-20])], [-0.33333333333333337, 0.6000000000000001, array([0.30668968])], [0.33333333333333326, 0.6000000000000001, array([0.61548609])], [1.0, 0.6000000000000001, array([1.24336227e-08])]]
[[-1.0, 0.7000000000000001, array([1.39548475e-20])], [-0.33333333333333337, 0.7000000000000001, array([0.18329993])], [0.33333333333333326, 0.7000000000000001, array([0.73341774])], [1.0, 0.7000000000000001, array([2.24808644e-09])]]
[[-1.0, 0.8, array([5.40411997e-21])], [-0.33333333333333337, 0.8, array([0.10303611])], [0.33333333333333326, 0.8, array([0.77537988])], [1.0, 0.8, array([4.03338837e-10])]]
[[-1.0, 0.9, array([2.12916353e-21])], [-0.33333333333333337, 0.9, array([0.05526825])], [0.33333333333333326, 0.9, array([0.74639574])], [1.0, 0.9, array([7.19713108e-11])]]
[[-1.0, 1.0, array([8.50414437e-22])], [-0.33333333333333337, 1.0, array([0.02860221])], [0.33333333333333326, 1.0, array([0.66247144])], [1.0, 1.0, array([1.27939725e-11])]]
